Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00060,22.20,-20.88,-0.51,0.55,0.36,59770150.00,2492275.00,183.10,3853400.00,267.95,268.40,22.76,61.20,245.69,268.45,43000,11.50,BANKNIFTY,244.60,244.60,0.00,0.00,244.55,245.00,7017825.00,268.20,5111975.00,68665875.00,0.34,0.49,-20.88,22.20,0.00060
0.00060,21.83,-20.48,-0.57,0.29,0.38,17174575.00,647350.00,412.60,804250.00,320.70,321.20,122.76,161.20,198.24,321.00,43100,11.50,BANKNIFTY,198.70,198.70,0.00,0.00,198.35,198.65,2792975.00,438.40,2274200.00,27134500.00,0.31,0.43,-20.48,21.83,0.00060
0.00060,20.93,-19.41,-0.63,0.2,0.4,10847975.00,374925.00,309.00,496275.00,380.25,380.95,222.76,261.20,157.49,380.25,43200,11.40,BANKNIFTY,156.95,156.95,0.00,0.00,157.00,157.30,2505750.00,251.10,1792025.00,20245575.00,0.28,0.37,-19.41,20.93,0.00060
0.00060,19.57,-18.11,-0.69,0.2,0.42,4323550.00,275500.00,805.00,309725.00,446.20,447.00,322.76,361.20,123.49,446.25,43300,11.30,BANKNIFTY,123.35,123.35,0.00,0.00,123.05,123.35,1518550.00,303.50,1142200.00,15159050.00,0.25,0.31,-18.11,19.57,0.00060
0.00050,17.84,-16.47,-0.75,0.08,0.44,1725275.00,117850.00,568.60,138575.00,517.90,519.05,422.76,461.20,95.09,517.85,43400,11.30,BANKNIFTY,95.20,95.20,0.00,0.00,95.05,95.20,1677650.00,218.50,1150850.00,12821700.00,0.21,0.25,-16.47,17.84,0.00050
0.00050,15.91,-14.72,-0.79,0.1,0.45,2170225.00,137375.00,101.10,273200.00,595.85,597.20,522.76,561.20,74.64,597.40,43500,11.30,BANKNIFTY,73.10,73.10,0.00,0.00,73.15,73.35,2705150.00,111.00,1423025.00,20811375.00,0.18,0.21,-14.72,15.91,0.00050
0.00040,13.93,-12.98,-0.83,0.03,0.46,190125.00,19350.00,283.50,26175.00,677.80,679.50,622.76,661.20,54.54,677.30,43600,11.40,BANKNIFTY,56.05,56.05,0.00,0.00,56.00,56.15,1017100.00,191.80,668525.00,8819275.00,0.15,0.17,-12.98,13.93,0.00040
0.00030,12.00,-11.30,-0.87,0.03,0.47,79050.00,16100.00,254.50,22425.00,764.10,766.00,722.76,761.20,40.74,763.50,43700,11.50,BANKNIFTY,42.95,42.95,0.00,0.00,42.85,42.95,893275.00,145.50,529350.00,7408625.00,0.13,0.13,-11.30,12.00,0.00030
0.00030,10.22,-9.74,-0.89,0.02,0.47,50650.00,14225.00,297.90,19000.00,853.80,855.90,822.76,861.20,38.74,861.50,43800,11.70,BANKNIFTY,32.95,32.95,0.00,0.00,32.90,33.05,1167025.00,279.00,859075.00,7709925.00,0.11,0.11,-9.74,10.22,0.00030
0.00020,8.69,-8.45,-0.91,0.01,0.48,27475.00,4250.00,106.30,8250.00,946.40,948.60,922.76,961.20,25.54,948.30,43900,11.90,BANKNIFTY,25.80,25.80,0.00,0.00,25.70,25.85,731300.00,313.20,554300.00,6020300.00,0.09,0.09,-8.45,8.69,0.00020
0.00020,7.41,-7.37,-0.93,0.05,0.49,152500.00,36175.00,54.80,102175.00,1040.85,1042.85,1022.76,1061.20,17.24,1040.00,44000,12.20,BANKNIFTY,20.60,20.60,0.00,0.00,20.60,20.70,1927550.00,101.50,971125.00,10969300.00,0.08,0.07,-7.37,7.41,0.00020
0.00020,6.30,-6.43,-0.94,0.01,0.47,3100.00,650.00,21.30,3700.00,1136.30,1139.50,1122.76,1161.20,39.49,1162.25,44100,12.50,BANKNIFTY,16.55,16.55,0.00,0.00,16.50,16.55,660150.00,394.60,526675.00,4883725.00,0.06,0.06,-6.43,6.30,0.00020
0.00010,5.40,-5.65,-0.95,0,0.49,950.00,350.00,280.00,475.00,1232.60,1236.65,1222.76,1261.20,6.39,1229.15,44200,12.80,BANKNIFTY,13.55,13.55,0.00,0.00,13.55,13.60,710675.00,159.40,436725.00,3756725.00,0.06,0.05,-5.65,5.40,0.00010
0.00010,4.73,-5.12,-0.96,0,0.44,225.00,125.00,125.00,225.00,1329.60,1337.15,1322.76,1361.20,100.24,1423.00,44300,13.20,BANKNIFTY,11.60,11.60,0.00,0.00,11.55,11.60,649100.00,357.10,507100.00,2988525.00,0.05,0.04,-5.12,4.73,0.00010
0.00010,4.16,-4.64,-0.97,0,0.47,250.00,75.00,50.00,225.00,1427.70,1435.75,1422.76,1461.20,50.09,1472.85,44400,13.70,BANKNIFTY,10.00,10.00,0.00,0.00,9.95,10.00,737925.00,322.60,563300.00,3176075.00,0.04,0.03,-4.64,4.16,0.00010
0.00010,3.66,-4.22,-0.97,0,0.5,10375.00,250.00,4.50,5850.00,1528.00,1530.45,1522.76,1561.20,2.24,1525.00,44500,14.10,BANKNIFTY,8.65,8.65,0.00,0.00,8.65,8.70,2061775.00,171.40,1302225.00,6721950.00,0.04,0.03,-4.22,3.66,0.00010
0.00010,3.26,-3.86,-0.97,0,--,0.00,0.00,0.00,0.00,1624.80,1678.90,1622.76,1661.20,--,0.00,44600,14.50,BANKNIFTY,7.60,7.60,0.00,0.00,7.60,7.65,446650.00,438.50,363700.00,1978775.00,0.03,0.03,-3.86,3.26,0.00010
0.00010,3.01,-3.71,-0.98,0,--,0.00,0.00,0.00,0.00,1723.80,1785.80,1722.76,1761.20,--,0.00,44700,15.10,BANKNIFTY,7.10,7.10,0.00,0.00,7.05,7.10,373375.00,274.50,273675.00,1685625.00,0.03,0.02,-3.71,3.01,0.00010
0.00010,2.71,-3.44,-0.98,0,--,0.00,0.00,0.00,0.00,1822.90,1884.10,1822.76,1861.20,--,0.00,44800,15.60,BANKNIFTY,6.35,6.35,0.00,0.00,6.35,6.40,333375.00,280.00,245650.00,1461175.00,0.03,0.02,-3.44,2.71,0.00010
0.00010,2.55,-3.37,-0.98,0,--,0.00,0.00,0.00,0.00,1921.75,1956.95,1922.76,1961.20,--,0.00,44900,16.20,BANKNIFTY,6.10,6.10,0.00,0.00,6.05,6.10,215325.00,167.00,134675.00,1140875.00,0.02,0.02,-3.37,2.55,0.00010
0.00000,2.39,-3.27,-0.98,0,0.5,725.00,175.00,8.10,2325.00,2022.15,2027.65,2022.76,2061.20,-5.21,2017.55,45000,16.70,BANKNIFTY,5.80,5.80,0.00,0.00,5.75,5.80,2691750.00,112.50,1425175.00,6509300.00,0.02,0.02,-3.27,2.39,0.00000
0.00000,2.23,-3.14,-0.98,0,0.52,0.00,0.00,0.00,250.00,2079.90,2179.30,2122.76,2161.20,-33.11,2089.65,45100,17.30,BANKNIFTY,5.45,5.45,0.00,0.00,5.40,5.45,164775.00,113.60,87650.00,911825.00,0.02,0.02,-3.14,2.23,0.00000
0.00000,2.04,-2.96,-0.99,0,--,0.00,0.00,0.00,0.00,2183.20,2335.40,2222.76,2261.20,--,0.00,45200,17.70,BANKNIFTY,5.00,5.00,0.00,0.00,5.00,5.05,216100.00,235.00,151600.00,805600.00,0.02,0.01,-2.96,2.04,0.00000
0.00000,1.93,-2.89,-0.99,0,--,0.00,0.00,0.00,0.00,2278.05,2409.35,2322.76,2361.20,--,0.00,45300,18.30,BANKNIFTY,4.80,4.80,0.00,0.00,4.75,4.80,103250.00,91.60,49375.00,561750.00,0.02,0.01,-2.89,1.93,0.00000
0.00000,1.83,-2.81,-0.99,8.89,--,0.00,--,--,675425.00,2377.20,2513.70,2422.76,2461.20,--,0.00,45400,18.80,BANKNIFTY,4.60,4.60,0.00,0.00,4.55,4.65,75975.00,--,--,435050.00,0.02,0.01,-2.81,1.83,0.00000
0.00000,1.70,-2.68,-0.99,0,--,0.00,0.00,0.00,0.00,2451.55,2630.05,2522.76,2561.20,--,0.00,45500,19.30,BANKNIFTY,4.30,4.30,0.00,0.00,4.30,4.35,940975.00,265.80,683750.00,3340000.00,0.03,0.01,-2.68,1.70,0.00000
0.00000,1.40,-2.53,-0.99,0,--,0.00,0.00,0.00,0.00,2939.65,3104.60,3022.76,3061.20,--,0.00,46000,22.20,BANKNIFTY,3.85,3.85,0.00,0.00,3.80,3.85,1896875.00,767.60,1678250.00,5102775.00,0.02,0.01,-2.53,1.40,0.00000
0.00000,1.07,-2.15,-0.99,0,--,0.00,0.00,0.00,0.00,3500.75,3629.25,3522.76,3561.20,--,0.00,46500,24.50,BANKNIFTY,3.05,3.05,0.00,0.00,3.00,3.05,423400.00,822.40,377500.00,1823825.00,0.02,0.01,-2.15,1.07,0.00000
0.00000,0.85,-1.86,-0.99,0,0.42,50.00,25.00,0.00,25.00,3983.55,4108.15,4022.76,4061.20,125.94,4148.70,47000,26.90,BANKNIFTY,2.50,2.50,0.00,0.00,2.45,2.50,434950.00,455.80,356700.00,1883375.00,0.01,0.01,-1.86,0.85,0.00000
0.00000,0.73,-1.74,-1.00,0,0.47,50.00,0.00,0.00,0.00,4492.85,4633.50,4522.76,4561.20,47.24,4570.00,47500,29.30,BANKNIFTY,2.25,2.25,0.00,0.00,2.20,2.25,181625.00,689.70,158625.00,1027425.00,0.01,0.00,-1.74,0.73,0.00000
0.00000,0.64,-1.67,-1.00,0,--,0.00,0.00,0.00,0.00,4959.20,5141.60,5022.76,5061.20,--,0.00,48000,31.80,BANKNIFTY,2.10,2.10,0.00,0.00,2.05,2.10,458125.00,314.90,347700.00,1469825.00,0.01,0.00,-1.67,0.64,0.00000
0.00000,0.60,-1.69,-1.00,0,--,0.00,0.00,0.00,0.00,5414.30,5642.50,5522.76,5561.20,--,0.00,48500,34.50,BANKNIFTY,2.10,2.10,0.00,0.00,2.00,2.10,360250.00,1326.70,335000.00,1202975.00,0.01,0.00,-1.69,0.60,0.00000
0.00000,0.56,-1.68,-1.00,0,0.51,0.00,0.00,0.00,75.00,5982.35,6163.55,6022.76,6061.20,-22.61,6000.15,49000,37.00,BANKNIFTY,2.05,2.05,0.00,0.00,2.00,2.05,1126825.00,4349.50,1101500.00,3092725.00,0.06,0.00,-1.68,0.56,0.00000
